AptName,AptAddress,BedroomNo,BathroomNo,Rent,Area,lat,lng,distanceToPurdue,crimeRate,grocery_w/n_.5mi,busStops_w/n_.1mi
The Lodge Apartments,"2101 Cumberland Avenue, West Lafayette IN 47906",2,2,460,908,40.4568192,-86.9480031,2.859119761,2,0,0
Greenbush Crossings,"2025 Greenbush Street, Lafayette IN 47904",0,1,475,550,40.43202167,-86.87362065,2.16489747,0,1,0
Salem House,"711 Salem Street, Lafayette IN 47904",4,2,400,250,40.425616,-86.88926519,1.284286962,3,0,0
108 S RIVER RD,"108 S River Rd, West Lafayette IN 47906",2,1,380,700,40.42124338,-86.90473648,0.52825025,5,5,2
Summit House,"1725 Summit Dr, West Lafayette IN 47906",4,2,500,1500,40.44286514,-86.92106732,1.310641736,2,0,0
Riverbend Apartments,"202 S River Rd, West Lafayette IN 47906",4,3,470,1500,40.42045661,-86.90520609,0.534689461,5,5,2
50 Ironwood,"50 Ironwood Ct, Lafayette IN 47905",2,1,750,1500,40.42756069,-86.83133406,4.335174116,0,0,0
321 Vine Street,"321 Vine St., West Lafayette IN 47906",0,1,465,429,40.42655,-86.908242,0.310160815,6,4,3
1710 Northwestern Ave,"1710 Northwestern Ave, West Lafayette IN 47906",2,2,965,2000,40.44305345,-86.9193896,1.299776725,2,0,0
Ashley Oaks,"3770 Ashley Oaks Dr, Lafayette IN 47905",2,1,769,975,40.42197126,-86.84115286,3.819290329,0,1,0
402 Perrin Avenue,"402 Perrin Avenue, Lafayette IN 47904",2,1,375,1100,40.42096936,-86.88127913,1.723222153,0,0,0
612-616 S. 10Th St,"616 S. 10th St, Lafayette IN 47905",1,2,875,1500,40.410809,-86.8854481,1.769757658,0,0,0
Salisbury Place,"120 S Salisbury St, West Lafayette IN 47906",2,2,1280,819,40.42247544,-86.90557271,0.453373847,6,5,0
630 N 5Th,"630 N 5th St, Lafayette IN 47901",1,1,500,585,40.4231269,-86.89200598,1.14434189,4,3,1
DW Properties,"1410 Howell Street, Lafayette IN 47904",1,2,325,2100,40.43034512,-86.88204239,1.707075538,0,0,0
Wall Street,"704 N 6th St, Lafayette IN 47901",1,1,660,564,40.42403206,-86.89081161,1.202640024,4,2,0
Stadium Ave,"301 West Stadium Avenue, West Lafayette IN 47906",1,1,315,100,40.430744,-86.908318,0.499597641,6,5,3
1004 Main Street                   ,"1004 Main Street, Lafayette                      IN 47901",1,1,500,500,40.419207,-86.88566835,1.521484355,1,1,2
1707 Ferry Street,"1707 Ferry Street, Lafayette IN 47901",1,1,650,980,40.41887419,-86.87775349,1.932044787,0,0,0
2913 Beverly Lane,"2913 Beverly Lane, Lafayette IN 47904",3,2,850,1200,40.42735683,-86.86215944,2.71496688,0,1,0
Peppermill Village Apartments,"3366 Peppermill Drive, West Lafayette IN 47906",2,1,887,1170,40.462827,-86.926339,2.714210488,3,0,0
420 S. Chauncey,"420 S.Chauncey, West Lafayette IN 47906",2,1,980,800,40.42789091,-86.90685159,0.417928945,6,4,1
Ananda,"1010 N. Salisbury St., West Lafayette IN 47906",3,2.5,1395,980,40.435308,-86.905734,0.839442075,5,1,2
Thornhill,"3321 Thornhill Circle East, Lafayette IN 47909",2,2,825,1100,40.3718161,-86.8981343,3.749372807,0,0,0
159 S. 3rd St,"159 S. 3rd St, Lafayette IN 47901",3,3,865,1700,40.414626,-86.894121,1.243623003,3,1,0
355 W Oak,"355 West Oak Street, West Lafayette IN 47906",0,1,540,750,40.43167851,-86.90940848,0.5275264,6,3,4
The Blue Bear,"416 South 4th street, Lafayette IN 47901",1,1,550,954,40.41357551,-86.89311464,1.328623502,2,1,0
1419 Greenbush St.,"1419 Greenbush St, Lafayette IN 47904",2,1,650,1000,40.43199284,-86.8820554,1.735689697,0,0,0
940 Rose Street,"940 Rose Street, West Lafayette IN 47906",3,1,625,850,40.4355844,-86.90128758,0.991168731,5,0,0
1528 Alabama Street,"1528 Alabama Street, Lafayette IN 47905",1,1,595,500,40.41649277,-86.87963985,1.8785334,0,0,0
Waterfront,"320 Brown Street, West Lafayette IN 47906",3,2,260,1500,40.42456435,-86.8997056,0.733751152,6,5,0
704 Dodge,"704 Dodge, West Lafayette IN 47906",2,1,551,500,40.43336542,-86.91406466,0.595020412,5,2,2
Waterfront Condos,"320 Brown Street, West Lafayette IN 47906",3,2,1050,1200,40.42456435,-86.8997056,0.733751152,6,5,0
410 N. Chauncey,"410 N. Chauncey, West Lafayette IN 47906",2,1,350,800,40.42778796,-86.90684962,0.414381438,6,4,2
Test Property,"700 State St, Lafayette IN 47904",1,1,1350,100,40.424244,-86.915043,0.081619178,6,3,3
Anthrop Condo,"0 Anthrop Dr, West Lafayette IN 47906",2,2,795,1050,40.451945,-86.922515,1.935768796,4,3,0
Duplex for Rent - NICE!,"612 Vineyards Court, Lafayette IN 47905",3,2,890,1500,40.41167642,-86.83252112,4.363659847,0,2,0
350 S. Chauncey,"350 S. Chauncey, West Lafayette IN 47906",2,1,400,649,40.42620519,-86.9068331,0.372221973,6,5,2
1525 Ferry Street - 2,"1525 Ferry Street, Lafayette IN 47901",2,1,697,850,40.41949944,-86.88008533,1.803067855,0,0,0
1920 N 15Th St,"1920 N 15th St, Lafayette IN 47904",1,1,575,820,40.43643739,-86.88158805,1.869805425,0,0,0
936 Snowy Owl Ct,"936 Snowy Owl Ct, Lafayette IN 47904",0,1,650,709,40.429816,-86.8673502,2.460806667,0,1,0
2817 South St,"2817 South St, Lafayette IN 47905",3,2,750,1745,40.41740598,-86.86496112,2.611784121,0,1,0
Milo Property,"45 N Salisbury St, West Lafayette IN 47906",4,2,295,11,40.42326332,-86.90571473,0.43012121,6,5,0
1112 N. 9th St.,"1112 N. 9th St.,  Lafayette IN 47904",3,2,705,950,40.42791624,-86.88712013,1.412688309,3,0,2
Lauffer Apartments,"717 South Street, Lafayette IN 47901",2,3,1500,1550,40.41725227,-86.88834922,1.428815176,1,1,0
Cochran Benchmark 3,"439 South Chauncey Avenue, West Lafayette IN 47906",4,1.5,540,1300,40.41787072,-86.909132,0.532303274,5,2,4
818 North 10Th,"818 N 10th St, Lafayette IN 47904",1,1,500,550,40.42496585,-86.88586844,1.461721686,2,0,4
829 North Salisbury Street,"829 North Salisbury Street, West Lafayette IN 47906",0,1,510,480,40.433456,-86.905888,0.726481489,6,2,2
Main Street 1708,"1708 Main St, Lafayette IN 47904",1,1,525,550,40.41598001,-86.87695924,2.023704172,0,0,0
418 1/2 S Grant St,"418 1/2 South Grant St, West Lafayette IN 47906",1,1,500,600,40.41812211,-86.91015406,0.494395518,5,2,2
Salin Town Homes,"605 West Street, Lafayette IN 47905",3,2,925,1915,40.40346533,-86.90024571,1.632188261,0,0,0
Infinity Apartments,"1208 Holloway Drive, Lafayette IN 47905",2,1,650,750,40.40525158,-86.89768518,1.58872594,0,0,0
613 South 9Th St,"613 S 9th St, Lafayette IN 47901",1,1,680,700,40.41083113,-86.8864077,1.726784942,0,0,0
1114-1116 North 9Th St,"1116 North 9th St, Lafayette IN 47904",1,1,590,800,40.42795367,-86.88712157,1.41301418,3,0,2
910 N 6Th St,"910 N 6th St, Lafayette IN 47904",4,2,825,1300,40.42589661,-86.89083101,1.203101617,4,0,1
311 Fowler,"311 Fowler Avenue, West Lafayette IN 47906",4,2,2200,2000,40.42750815,-86.90840226,0.334998523,6,5,3
3104 Longlois Drive,"3104 Longlois Drive, Lafayette IN 47904",3,1,725,950,40.43709885,-86.86179154,2.858334406,0,0,0
Stratford Two,"305 North Salisbury Street, West Lafayette IN 47906",4,2,445,1000,40.42585914,-86.90574435,0.422749498,6,5,1
River Market Apartments,"108 S River Rd, West Lafayette IN 47906",0,1,629,420,40.42124338,-86.90473648,0.52825025,5,5,2
One Furnished Apartment,"320 Brown Street, West Lafayette IN 47906",3,2,1150,1020,40.42456435,-86.8997056,0.733751152,6,5,0
Chauncy Square,"102 North Chauncey Avenue, West Lafayette IN 47906",2,1,849,650,40.42403996,-86.90682373,0.362560661,6,5,1
2543 Neil Armstrong Dr G,"2543 Neil Armstrong Dr, West Lafayette IN 47906",3,2,750,1000,40.4549763,-86.9304577,2.26772577,4,2,0
1625 Columbia,"1625 Columbia St, Lafayette IN 47901",2,1,685,730,40.41815822,-86.87867896,1.895781005,0,0,0
Stratford II,"305 N. Salisbury St., West Lafayette IN 47906",4,2,450,1056,40.42585914,-86.90574435,0.422749498,6,5,1
Ridgway Rentals Perrin Ave,"221 Perrin Avenue, Lafayette IN 47901",0,1,415,450,40.4192707,-86.88233792,1.690632414,0,0,0
Winterset,"2341 Winterset Drive, Lafayette IN 47909",3,2,1100,1286,40.37368571,-86.86933625,4.231060786,0,0,0
810 Princess,"810 Princess, West Lafayette IN 47906",4,2,800,1700,40.44689444,-86.91593695,1.534404446,3,1,2
Centennial Vista,"516 N. 6th Street, Lafayette IN 47901",2,1,730,1000,40.42207783,-86.89077192,1.217899865,4,2,0
132 Sylvia St,"132 Sylvia Street, West Lafayette IN 47906",1,1,475,400,40.42988801,-86.90679555,0.505497258,6,5,4
116 Pierce Street,"116 Pierce Street, West Lafayette IN 47906",2,1,509,650,40.42224276,-86.90926085,0.289183042,6,4,3
N 7th St,"425 N 7th St, Lafayette IN 47901",3,1,690,600,40.42125543,-86.889339,1.301847393,3,1,0
The Vintage,"230 South Grant Street, West Lafayette IN 47906",0,1,710,375,40.42105188,-86.91020266,0.314067638,6,3,4
226 S Grant St,"226 S Grant St, West Lafayette IN 47906",1,1,645,450,40.4210887,-86.91020311,0.311979887,6,3,4
1317 Columbia                                     ,"1317 Columbia,  Lafayette IN 47902",3,2,825,1000,40.41815872,-86.88200137,1.726612332,0,0,0
223 Dehart St,"223 Dehart St, West Lafayette IN 47906",3,1,700,1200,40.43257063,-86.90304106,0.776359727,6,0,0
520 Vine,"520 Vine St, West Lafayette IN 47906",2,1,900,1000,40.43010504,-86.90806398,0.47191968,6,5,2
Crosspointe,"3983 Amelia Ave, Lafayette IN 47905",1,1,595,700,40.39816327,-86.83083518,4.729935208,0,0,0
128 E. Oak Street,"128 E Oak St, West Lafayette IN 47906",5,2,1850,1800,40.43178064,-86.90400673,0.701895382,6,1,1
Chauncey Square Apartments,"120 South Street, West Lafayette IN 47906",2,2,700,762,40.42398441,-86.90637484,0.386483487,6,5,1
1824 Wilson Street,"1824 Wilson Street, Lafayette IN 47904",2,1,665,1056,40.42963916,-86.877063,1.95416991,0,1,0
612  Stockbridge  Lane,"612 Stockbridge Lane, Lafayette IN 47909",3,1.5,1200,2065,40.38274915,-86.91620743,2.906845287,0,0,0
303 Romig St,"303 Romig St, Lafayette IN 47901",1,1,525,650,40.413759,-86.8940389,1.281818151,2,1,0
214 W. Lutz St.,"214 W Lutz Ave, West Lafayette IN 47906",4,1.5,1575,2742,40.42890285,-86.90725158,0.441806913,6,5,1
510 SALISBURY LARGE SPACE,"510 N Salisbury St, West Lafayette IN 47906",6,2,495,2000,40.43013918,-86.90558052,0.564193985,6,3,2
220 Sylvia St,"220 Sylvia St, West Lafayette IN 47906",4,2,395,2000,40.42989708,-86.90743831,0.482419092,6,5,3
539 S. 3Rd Street,"539 S. 3rd Street, Lafayette IN 47905",3,1,660,1200,40.41177503,-86.894093,1.365497018,1,1,0
907 Vine Street,"907 Vine Street, West Lafayette IN 47906",4,2,1400,1796,40.43419243,-86.90838401,0.708194264,6,2,0
443 Vine Street,"443 Vine Street, West Lafayette IN 47906",3,1,450,2000,40.428961,-86.908272,0.405279716,6,5,1
311 WEST OAK,"311 W Oak St, West Lafayette IN 47906",3,2,500,1500,40.43166704,-86.90854195,0.5476751,6,3,3
814 S 24th St,"814 S 24th St, Lafayette IN 47905",2,1,500,700,40.40901318,-86.86975647,2.553286641,0,0,0
White Pines,"2838 Plaza Ln, Lafayette IN 47909",1,1,620,700,40.3876313,-86.90818553,2.582352802,0,1,0
1155 Anthrop,"1155 Anthrop Drive, West Lafayette IN 47906",2,1,740,900,40.45188294,-86.9232476,1.941270948,4,3,0
Cochran Apartments,"527 North Grant Street, West Lafayette IN 47906",4,2,485,1000,40.43098,-86.910521,0.460183084,6,4,2
Granite Management,"229 Littleton Street, West Lafayette IN 47906",4,2,435,1100,40.4254443,-86.90425371,0.496568119,6,5,2
3104 Kilbourne Court,"3104 Kilbourne Court, Lafayette IN 47909",2,2,775,1380,40.38422507,-86.91360788,2.801717116,0,0,0
FUSE,"720 Northwestern Avenue, West Lafayette IN 47906",2,2,949,790,40.43261975,-86.91480593,0.546481734,5,2,3
Bridgewater Duplexes,"2024 A Bridgewater Circle, Lafayette IN 47909",3,2,895,1200,40.37190534,-86.87167177,4.269378979,0,0,0
115 East Columbia Street,"115 E Columbia St, West Lafayette IN 47906",1,1,700,450,40.42472958,-86.90493403,0.458538089,6,5,0
Weida Apartments,"330 West Lutz Avenue, West Lafayette IN 47906",4,1,430,1400,40.42896879,-86.90974227,0.356063086,6,5,1
TAD Properties Of Lafayette,"1018 South 4th Street, Lafayette IN 47905",2,2,675,850,40.40660437,-86.89308026,1.657241909,0,0,0
321 Lawn Ave.,"321 Lawn Ave, West Lafayette IN 47906",3,1,1260,1000,40.43266466,-86.9087811,0.603248616,6,3,0
1603 North 13th.St.,"1603 North 13th.St., Lafayette IN 47904",1,1,500,450,40.43341351,-86.8833175,1.70411713,0,0,0
1725 Columbia St,"1725 Columbia St, Lafayette IN 47901",1,1,495,685,40.41815476,-86.87764982,1.948438282,0,0,0
606 N. 30Th St.,"606 N 30th St, Lafayette IN 47904",3,1,700,936,40.42465354,-86.86308365,2.660475475,0,1,0
Stratford I,"122 North St., West Lafayette IN 47906",3,1,1410,950,40.42580817,-86.90638361,0.389038153,6,5,1
915-919 North St,"919 North Street, Lafayette IN 47904",1,1,475,740,40.42082973,-86.88656684,1.450639616,1,1,3
Princess Drive,"905 Princess Dr, West Lafayette IN 47906",2,1,575,725,40.44677871,-86.917193,1.533056525,3,1,1
1010 North St,"1010 North St, Lafayette IN 47904",1,1,550,600,40.42099807,-86.88566924,1.494987021,1,1,3
511 Dodge,"511 Dodge St, West Lafayette IN 47906",3,2,1500,1600,40.43316527,-86.91192877,0.587794089,6,2,2
1827 Main St. Lafayette,"1827 Main St, Lafayette IN 47904",3,2,1075,2400,40.414431,-86.875505,2.13030466,0,0,0
35 N. 29Th St.,"35 N 29th St, Lafayette IN 47904",2,1,675,842,40.41776764,-86.86404614,2.654350444,0,1,0
812 Vine,"812 Vine St, West Lafayette IN 47906",0,1,525,400,40.43338002,-86.90813954,0.662411954,6,2,0
2543-G Franklin Park Apartment,"2543 Neil Armstrong Drive, West Lafayette IN 47906",3,1,350,1800,40.4549763,-86.9304577,2.26772577,4,2,0
132-144 Twyckenham Blvd            ,"132 Twyckenham Blvd., Lafayette                      IN 47909",3,1,695,950,40.383614,-86.892472,3.054551929,0,0,0
Southfork,"314 South Chauncey Avenue, West Lafayette IN 47906",4,1,324,910,40.4195068,-86.90849571,0.453265722,5,3,3
329 Lawn Avenue,"329 Lawn Avenue, West Lafayette IN 47906",3,1,1395,1000,40.43266717,-86.90893873,0.599933069,6,3,0
400 N 9th,"400 N 9th St, Lafayette IN 47904",0,1,450,500,40.421055,-86.886937,1.428636336,2,1,3
600 Evergreen,"600 Evergreen, West Lafayette IN 47906",1,1,650,1000,40.432402,-86.912988,0.529175569,6,2,3
Meharry,"2100 Meharry St, Lafayette IN 47904",4,1,700,1200,40.433947,-86.872779,2.24195368,0,1,0
Benchmark II,"440 South Grant Street, West Lafayette IN 47906",4,2,405,120,40.41781424,-86.91014933,0.514297354,5,2,2
219 Waldron St,"219 Waldron St, West Lafayette IN 47906",4,1,425,900,40.42649834,-86.9180304,0.25988521,6,2,2
Summer 2014 Sublease,"400 North River Road, West Lafayette IN 47906",0,1,535,279,40.4256701,-86.9022181,0.604690647,6,5,1
224 S. Salisbury Street,"224 S Salisbury St, West Lafayette IN 47906",2,1,910,800,40.42082698,-86.90644839,0.46638049,5,5,2
3002 Butterfield Court,"3002 Butterfield Court, Lafayette IN 47909",2,2,825,1200,40.38472507,-86.91208882,2.768376855,0,0,0
Abby Manor,"360 Northwestern Ave, West Lafayette IN 47906",0,1,815,354,40.4506905,-86.9254093,1.895818709,4,1,1
715 N. 10Th St. Apt #1,"715 N 10th St, Lafayette IN 47904",1,1,550,500,40.42385515,-86.88586465,1.463208615,2,0,4
The Fairway Purdue,"1305 Palmer Drive, West Lafayette IN 47906",1,1,850,925,40.45205201,-86.92885224,2.048689028,4,2,0
1315 Morton,"1315 Morton St, Lafayette IN 47904",1,1,500,685,40.43108817,-86.88309214,1.666048323,0,0,0
Bower Housing,"401 Harrison Street, West Lafayette IN 47906",3,1,440,1350,40.420222,-86.910466,0.355685411,5,3,4
979 Devon St.,"979 Devon St., West Lafayette IN 47906",4,2,500,1800,40.45688095,-86.92116917,2.254863339,4,4,0
400 S. Grant,"400 S Grant St, West Lafayette IN 47906",2,1,850,650,40.418374,-86.910158,0.478199216,5,2,3
White Pines Duplexes,"2838 Plaza Lane, Lafayette IN 47909",2,2,670,952,40.3876313,-86.90818553,2.582352802,0,1,0
Mayfair Village Apartments,"2450 Sycamore Lane, West Lafayette IN 47906",1,1,515,680,40.45193586,-86.92133511,1.921142018,4,4,0
502 Dorsett Dr ,"502 Dorsett Dr, Lafayette IN 47909",2,2,795,1000,40.3867136,-86.8928363,2.848726402,0,0,0
1120 N 7Th St,"1120 N 7th St, Lafayette IN 47904",3,1,725,1200,40.42798912,-86.88962533,1.283486687,3,0,0
473 Maple St,"473 Maple St, West Lafayette IN 47906",3,2,1425,1200,40.42986306,-86.90451499,0.596014324,6,4,1
1823 Pierce St,"1823 Pierce St, Lafayette IN 47904",3,1,725,1300,40.43031473,-86.8771038,1.960648342,0,1,0
Grante,"300 N Salisbury St, West Lafayette IN 47906",4,2,400,1000,40.425833,-86.905529,0.433589163,6,5,1
118 East  Oak Street,"118 East Oak Street, West Lafayette IN 47906",6,2,2500,2200,40.43178131,-86.90412985,0.697260606,6,1,1
Anthrop Place,"1160 Anthrop Dr, West Lafayette IN 47906",1,1,500,720,40.45205236,-86.92346191,1.955525332,4,3,0
2221 Huron Rd.,"2221 Huron Rd, West Lafayette IN 47906",3,1,1050,2000,40.44916769,-86.91071245,1.693851055,3,4,0
1314-1316 Morton St,"1314 Morton Street, Lafayette IN 47904",3,1,725,1100,40.43125217,-86.88309228,1.669049751,0,0,0
631 Perrin Ave.,"631 Perrin Ave., Lafayette IN 47904",1,1,575,800,40.42240953,-86.87876107,1.842825204,0,0,0
1026-1028 N. 8Th St,"1028 N 8th St, Lafayette IN 47904",2,1,600,800,40.42702757,-86.88841316,1.336945522,3,0,2
503 North Grant,"503 North Grant Street, West Lafayette IN 47906",2,1,880,700,40.43021508,-86.91051802,0.411310143,6,5,3
